ID,sal_mean,temp_mean,vel_mean,sam_ef,pH,SurveyID,Dive,slope,tpi20km,Ox,mud,plancurv,profcur,aspect2000
153081,33.87648010253906,7.577877521514893,0.05190164595842361,115,7.94762659072876,1507Auster,5,1.5115691423416138,-46.32246017456055,226.16021728515625,1,-5.424804840004072e-6,7.178710802691057e-6,100.90230560302734
158158,33.74702835083008,7.532241344451904,0.03543496876955032,239,7.954918384552002,1407Auster,11,1.4317705631256104,-20.115081787109375,230.0421142578125,1,-4.497070221987087e-6,-4.852538950217422e-6,190.5582733154297
161064,33.82362365722656,7.59504508972168,0.02192133106291294,445,7.934057712554932,1407Auster,12,2.2051146030426025,-17.920616149902344,215.52435302734375,1,-1.256640643987339e-5,-3.8028319977456704e-5,114.0645751953125
163968,33.78596115112305,7.583449363708496,0.02388184517621994,12,7.931199550628662,1407Auster,16,1.157054424285889,-15.62150764465332,214.46156311035156,1,2.0851563022006303e-5,1.4482421647699084e-5,144.43289184570313
163969,33.84689712524414,7.623912811279297,0.01851781085133552,130,7.929915428161621,1407Auster,16,1.0791977643966677,-16.488405227661133,213.67002868652344,1,-2.35546872318082e-6,2.900391109506018e-7,127.3664321899414
165423,33.91913604736328,7.681121349334717,0.01800519414246082,1467,7.925535202026367,HB1903,R2115,1.5795319080352783,-17.683582305908203,211.3204040527344,1,-4.917382830171846e-5,9.105468961934092e-6,118.46431732177734
165425,33.89857482910156,7.660045623779297,0.01486644148826599,557,7.923247337341309,1407Auster,13,0.9286928176879884,-19.010089874267575,209.93165588378903,1,-1.1745117262762506e-5,1.184472694149008e-5,81.21260833740234
166150,33.92368698120117,7.685785293579102,0.01869979500770569,5696,7.923412322998047,HB1903,R2115,1.6493386030197144,-18.281169891357425,210.18740844726565,1,-2.305761699972209e-5,1.5195315654636945e-6,44.89914321899414
166877,33.92409133911133,7.686086654663086,0.01881248503923416,17419,7.921776294708252,1407Auster,10,1.3417598009109497,-18.87875747680664,209.35824584960935,1,2.254199171147775e-5,-1.5205077943392098e-6,99.31986236572266
174847,33.670555114746094,7.372568130493164,0.06957487761974335,73,7.973242282867432,1507Auster,9,1.022992491722107,3.2528581619262695,240.5094451904297,1,-1.591406180523336e-5,5.25683572050184e-6,259.5205078125
177078,34.16051483154297,7.982079982757568,0.02619542740285396,2337,7.926728248596191,HB1702,R2014,1.2166775465011597,-12.545344352722168,213.89222717285156,0.8490787744522095,-4.722265657619573e-5,1.4047852346266154e-5,337.2860412597656
177079,34.15312576293945,7.978219985961914,0.03181891143321991,2157,7.928071022033691,HB1702,R2014,1.385326266288757,-11.135860443115234,214.4998321533203,0.8853152394294739,3.445019683567807e-5,-1.9943359802709892e-5,304.2856140136719
177805,34.17438888549805,7.989551544189453,0.01628313399851322,4493,7.926716327667236,HB1702,R2014,0.9819393754005432,-12.63431167602539,213.84158325195313,1,2.9283202820806764e-5,-5.236327979218913e-6,223.703857421875
217775,34.292301177978516,7.914451599121094,0.0080798165872693,1954,7.890905857086182,HB1903,R2116,0.10267633199691772,-7.397830486297607,192.99468994140625,1,2.4237986053776694e-6,-1.8222359585706729e-6,353.1609802246094
217776,34.309730529785156,7.938713073730469,0.02073701098561287,11873,7.89224910736084,HB1903,R2116,0.02856363914906978,-6.1649370193481445,193.51756286621097,1,5.156523457117146e-7,-9.403409535480024e-7,353.1242980957031
218502,34.28982162475586,7.911001205444336,0.00627980148419737,2872,7.890309333801269,HB1903,R2116,0.38527292013168335,-7.055240154266357,192.68463134765625,1,1.408258958690567e-5,-3.0498047181026777e-6,100.16939544677734
218504,34.31916427612305,7.951839447021484,0.02758482284843921,5845,7.892924308776856,HB1903,R2116,0.31115299463272095,-4.434210300445557,193.7068634033203,1,1.1870507478306536e-5,-3.801757884502877e-6,285.1820068359375
219209,34.2498779296875,7.883477687835693,0.00854560732841491,317,7.877026081085205,1407Auster,6,0.2165934443473816,-22.79689598083496,188.4425811767578,1,4.107421773369424e-6,-1.916992232509074e-6,326.39776611328125
219210,34.25223159790039,7.884456157684326,0.00853796489536762,412,7.877166748046875,1407Auster,6,0.1293131709098816,-22.782699584960938,188.48190307617188,1,4.42154941993067e-6,-1.0625000186337274e-06,356.6758117675781
219231,34.31734848022461,7.949316024780273,0.0262695737183094,8040,7.892313480377197,HB1903,R2116,0.20274999737739563,-3.936377048492432,193.38674926757813,1,1.9726557809462977e-7,-7.822266070434125e-7,262.0405578613281
219232,34.32011795043945,7.953205585479736,0.02832887321710586,5043,7.893575668334961,HB1903,R2116,0.2177928239107132,-2.548240423202514,193.8822021484375,1,7.001953008511919e-7,-1.6875000028448994e-6,288.40289306640625
219936,34.248321533203125,7.881646156311035,0.00825414806604385,726,7.876428127288818,1407Auster,18,0.1315029412508011,-23.377714157104492,188.23577880859375,1,1.705078148006578e-6,5.566402805357029e-8,316.1777648925781
